Key,Predicted_Enrollment
4761,1.5903708383567516
4360,1.675157446566553
5950,1.39472158044073
3453,1.255930590161293
1490,2.1193445291526594
3660,2.0501476098058586
332,1.75314246866701
1475,2.1193445291526594
5173,1.562835052033539
214,1.9936343877732796
4488,1.35903479345357
3795,1.717830284016169
4142,1.157125153675725
2407,1.2611977545006356
3816,1.9515597182405662
5481,1.39472158044073
49,1.5272814183882892
463,1.5756895819983254
968,3.3280933058355826
3747,2.6400455268839975
496,1.7401397865237889
4683,1.298943755999659
3621,1.475531472801172
4827,2.2689055537227327
1794,2.126011195819326
4479,1.456419839128821
4490,1.3566833618377367
2369,1.2962322555950636
141,1.3976082713601357
3201,3.5165050901693404
38,1.4393114945270111
3570,1.8647784770271971
5103,1.1911411749243914
5226,1.7859792224410416
4328,1.3597989975790972
57,1.5313938925281732
4957,1.5518524546673635
6110,1.39472158044073
2747,1.7928551534046953
1662,2.1193445291526594
4384,1.4397995562783523
1032,1.9819207034700081
4575,1.8539225311044294
4034,3.7946751443001427
4114,1.4941382953259796
63,1.914575806929202
6170,1.39472158044073
2353,1.4936711995945706
5348,1.39472158044073
2518,1.2402528675373377
4769,1.4909294601122918
6078,1.39472158044073
2429,1.8727586392444198
5834,1.39472158044073
2713,1.3900771250631365
1196,2.4613746269117494
5275,1.8769606803780159
3032,1.7522945950189208
2372,2.0855306924238812
2848,1.0712210093140972
2283,2.4613746269117494
2232,2.4613746269117494
3579,1.9811881819662691
1759,2.126011195819326
3534,2.830008759036435
3432,2.1275028782954215
256,1.4348503832714212
2043,2.4613746269117494
3575,1.9658274616815359
5986,1.39472158044073
333,2.0195790801120803
2627,1.1467420634972094
4701,1.6256078091601176
2488,1.628469246708368
4058,2.7392485569985574
5926,1.39472158044073
5946,1.39472158044073
275,1.3473089690991464
2948,1.9034988694075166
4091,1.395882469661733
395,1.3272336350499934
2149,2.4613746269117494
4906,1.3723330375663483
2561,1.6567844552222741
536,1.3926389275491187
505,1.4320155074837364
1667,2.1193445291526594
152,1.7644456057951994
645,3.415219696077213
3649,1.6927740543163743
2839,1.4095984807998925
725,1.717707309784823
1006,2.4254357856636926
442,1.538892399992281
2022,2.4613746269117494
1601,2.1193445291526594
1859,2.126011195819326
1031,1.7114892365965668
3565,1.7949501709059297
2485,1.336279198810596
3887,1.6337457482083937
2375,2.5802635154666365
3663,1.8511673384298346
5407,1.39472158044073
3713,1.8702868661333372
167,1.812858169735632
5979,1.39472158044073
4285,2.29173035042501
5050,1.1230099249165493
2692,2.0451256421697166
2281,2.4613746269117494
6097,1.39472158044073
2104,2.4613746269117494
4896,2.165995772949932
782,2.9365059102751565
1170,2.4613746269117494
2445,1.742890703614615
722,2.7736305823602287
1093,2.4613746269117494
6060,1.39472158044073
3200,2.802518368955155
1700,2.126011195819326
1184,2.4613746269117494
1797,2.126011195819326
3267,2.1550904521375345
1569,2.1193445291526594
4645,1.6814585064841945
1258,2.4613746269117494
