Index,Predicted_Enrollment
277,2.161507325244003
278,1.5542623545027987
279,1.8001556481223153
280,1.9260412203603345
281,2.877089105705927
282,2.5028069194570386
283,1.5924642795213588
284,1.7020864627787353
285,2.417403613745245
286,1.6218545738146448
287,2.5962888317646184
288,1.6491091464926586
289,1.3983090490855752
290,1.717830284016169
291,1.475531472801172
292,1.8647784770271971
293,1.9811881819662691
294,2.830008759036435
295,1.9658274616815359
296,1.6927740543163743
297,1.7949501709059297
298,1.8511673384298346
299,3.6000822860248265
300,1.9752083755182672
301,1.827858713567416
302,2.306977193142926
303,4.047434523809523
304,2.3602444024797706
305,2.52447737420848
306,2.8463480604096203
307,1.1418558037338282
308,1.690831848894707
309,1.1829297682995976
310,1.3778595292990063
311,1.8420045513833554
312,1.91576876759201
313,1.3301921184474932
314,1.2413996202255393
315,1.255930590161293
316,1.562835052033539
317,1.1911411749243914
318,1.7859792224410416
319,1.8769606803780159
320,1.1230099249165493
321,2.4316643330592935
322,1.4807921150841217
323,1.7104224018959755
324,2.3454617408922913
325,2.436265773233276
326,1.5444749829155773
327,1.4730962719377538
328,1.3355946493165107
329,2.023177524333727
330,1.3542871847203215
331,1.2411304997882688
332,1.3897292404286903
333,1.2983314529741898
334,1.718102759031543
335,1.5371247039818237
336,1.4674355143021145
337,1.5873825910406043
338,2.4118559849547623
339,1.8347617111787877
340,1.396294413179442
341,1.7493149247774653
342,1.3748480911335532
343,1.3789402996776072
344,1.6906609873108283
345,1.789394202517051
346,1.50060663079905
347,1.5903708383567516
348,1.675157446566553
349,1.35903479345357
350,1.298943755999659
351,1.456419839128821
352,1.3566833618377367
353,1.3597989975790972
354,1.5518524546673635
355,1.4397995562783523
356,1.4941382953259796
357,1.4909294601122918
358,1.6256078091601176
359,1.395882469661733
360,1.3723330375663483
361,1.6814585064841945
362,1.3869379587467854
363,1.680696392595195
364,1.720052440401988
365,2.253977104169974
366,1.547283992480354
367,1.6287457954109101
368,1.360477338474425
369,1.2225525642218327
370,1.6313227933020427
371,1.673728356575361
372,1.427548530851328
373,1.3455462112533447
374,1.271635304146035
375,1.3390871746652366
376,1.2368357051497123
377,1.3567144918874934
378,1.6755348238304169
379,1.5563825719154734
380,1.1688681660559577
381,1.4045369150891833
382,1.527085598070741
383,1.9494891822589162
384,1.9923893102553873
385,1.2189858143271766
386,1.5470071015618572
387,1.291278637266914
388,1.4139577867788031
389,1.531348243983197
390,1.375672299613862
391,1.4606196974517085
392,3.3413594859547198
393,3.77678730548615
394,2.221837395222291
395,3.1858136561537354
396,3.8483075121559565
397,3.7270890514753647
398,3.415219696077213
399,2.7736305823602287
400,2.8068506700367113
401,2.071779242508876
402,2.542066168399551
403,2.0857273369593003
404,3.1449864245567913
405,2.0086951789191927
406,3.27480571052881
407,3.546770073308736
